,background,justClass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,skills,weapons,castingStat,processedRace,processedSpells,processedWeapons,levelGroup,Acrobatics,Animal Handling,Arcana,Athletics,Deception,History,Insight,Intimidation,Investigation,Medicine,Nature,Perception,Performance,Persuasion,Religion,Sleight of Hand,Stealth,Survival,castCha,castInt,castWis,castCon,castDex,castStr,simpleWeapon,martialWeapon,rangedWeapon,num_feats,num_spells,multiClass
10,Smuggler,Rogue,4,Keen Mind,36,15,10,16,12,12,10,16,Athletics|Stealth|Insight|Perception|Deception|Persuasion,Shortsword|OH Dagger|Shortbow,Int,Tiefling,,Shortsword|Dagger|Shortbow,4-7,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0
11,Criminal,Paladin,1,,13,10,15,10,16,13,8,13,Stealth|Nature|Religion|Survival|Deception|Intimidation,Warhammer|Handaxe|Maul|Light Hammer,Cha,Lizardfolk,,Warhammer|Handaxe|Maul|Light hammer,1-3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0
12,Criminal,Rogue,2,,15,13,16,15,13,8,11,12,Sleight of Hand|Stealth|Insight|Perception|Survival|Deception|Intimidation,Rapier|Shortbow|Dagger,Int,Turtle,,Rapier|Shortbow|Dagger,1-3,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0
13,Acolyte,Cleric,6,Tough,49,16,14,10,14,10,18,9,History|Religion|Insight|Medicine|Persuasion,"Mace|Crossbow, light",Wis,Human,Light*0|Mending*0|Sacred Flame*0|Guidance*0|Bless*1|Cure Wounds*1|Shield of Faith*1|Bane*1|Detect Magic*1|Healing Word*1|Lesser Restoration*2|Spiritual Weapon*2|Aid*2|Hold Person*2|Beacon of Hope*3|Revivify*3|Dispel Magic*3|Daylight*3|Spirit Guardians*3|Mass Healing Word*3,"Mace|Crossbow, Light",4-7,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,20,0
14,Sage,Wizard,6,Fey Touched|Shadow Touched,44,11,8,13,16,18,10,10,Arcana|History|Investigation|Insight|Perception,Quarterstaff,Int,Human,Fire Bolt*0|Mage Hand*0|Minor Illusion*0|Shocking Grasp*0|Mage Armor*1|Magic Missile*1|Shield*1|Sleep*1|Identify*1|Detect Magic*1|Grease*1|Tasha's Hideous Laughter*1|Find Familiar*1|Silent Image*1|Levitate*2|Web*2|Misty Step*2|Invisibility*2|Hold Person*2|Scorching Ray*2|Fireball*3|Haste*3|Melf's Minute Meteors*3|Fly*3,Quarterstaff,4-7,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,24,0
15,Urchin,Monk,6,Alert,45,17,8,18,14,8,16,10,Athletics|Acrobatics|Sleight of Hand|Stealth|Insight,Quarterstaff|Dart|Unarmed strike,Int,Human,,Quarterstaff|Dart|Unarmed Strike,4-7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0
16,Soldier,Barbarian,6,Great Weapon Master,65,14,18,13,16,10,10,8,Athletics|Stealth|Nature|Perception|Survival|Intimidation,Greatsword|Handaxe|Javelin,Int,Human,,Greatsword|Handaxe|Javelin,4-7,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0
17,Soldier,Fighter,6,Sharpshooter,58,16,8,20,16,14,9,9,Athletics|Acrobatics|Arcana|Perception|Intimidation,Battleaxe|Longbow|Handaxe,Int,Human,Minor Illusion*0|Mending*0|Shield*1|Absorb Elements*1|Thunderwave*1|Burning Hands*1,Battleaxe|Longbow|Handaxe,4-7,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,6,0
18,Courtier,Warlock,2,,13,12,11,14,10,8,14,15,Arcana|Insight|Deception|Persuasion,Light Hammer|Sickle|Dagger,Cha,Kobold,,Light hammer|Sickle|Dagger,1-3,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
19,Folk Hero,Bard,2,,17,11,12,12,14,8,14,15,Animal Handling|Insight|Survival|Performance|Persuasion,Rapier|Dagger,Cha,Goblin,,Rapier|Dagger,1-3,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
20,Athlete,Barbarian,2,,23,14,15,15,14,10,13,8,Athletics|Acrobatics|Sleight of Hand|Perception|Intimidation,Greataxe|Handaxe|Javelin,Int,Kenku,,Greataxe|Handaxe|Javelin,1-3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
21,Charlatan,Cleric,2,,17,13,12,12,14,8,15,14,Sleight of Hand|Medicine|Deception|Persuasion,Mace,Wis,Halfling,Charm Person*1|Disguise Self*1,Mace,1-3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0
22,Knight,Fighter,2,,20,13,17,12,15,10,8,14,Athletics|History|Perception|Persuasion,Longsword,Int,Dwarf,,Longsword,1-3,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
23,Charlatan,Cleric,2,,15,15,8,16,13,15,10,13,Sleight of Hand|Religion|Deception|Persuasion,Mace,Wis,Halfling,Charm Person*1|Disguise Self*1,Mace,1-3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0
24,Folk Hero,Druid,1,,9,12,14,10,13,10,15,13,Nature|Animal Handling|Medicine|Survival,Scimitar,Wis,Halfling,,Scimitar,1-3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
25,Sage,Barbarian,1,,15,14,17,13,16,10,12,8,Athletics|Arcana|History|Intimidation,Greataxe|Handaxe|Javelin,Int,Dwarf,,Greataxe|Handaxe|Javelin,1-3,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
26,Entertainer,Wizard,1,,6,12,13,15,10,17,12,8,Acrobatics|Arcana|History|Performance,Quarterstaff,Int,Gnome,,Quarterstaff,1-3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
27,Criminal,Sorcerer|Warlock,4,Fey Touched,29,18,8,14,15,9,9,18,Stealth|Arcana|Deception|Intimidation,Eldritch Blast|Longsword,Cha,,*|Minor Illusion*0|Mage Hand*0|Message*0|Booming Blade*0|Eldritch Blast*0|Friends*0|Hex*1|Dissonant Whispers*1|Shield*1|Burning Hands*1|Armor of Agathys*1|Hellish Rebuke*1|Expeditious Retreat*1|Sleep*1|Hold Person*2|Misty Step*2,|Longsword,4-7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,17,1
28,Hermit,Druid,5,,55,13,14,14,16,12,14,12,Arcana|Religion|Insight|Medicine,Javelin|Sickle,Wis,Genasi,Primal Savagery*0|Thorn Whip*0|Shape Water*0|Produce Flame*0|Speak with Animals*1|Create or Destroy Water*1|Charm Person*1|Thunderwave*1|Faerie Fire*1|Lesser Restoration*2|Meld Into Stone*3|Dispel Magic*3,Javelin|Sickle,4-7,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,12,0
29,Faction Agent,Paladin,3,,36,18,15,12,15,8,8,16,Athletics|Insight|Intimidation|Persuasion,Longsword|Javelin,Cha,Aasimar,Protection from Evil and Good*1|Sanctuary*1,Longsword|Javelin,1-3,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0
30,Outlander,Fighter,9,Great Weapon Master|Savage Attacker,87,18,19,10,16,15,8,8,Athletics|Insight|Perception|Survival|Intimidation,Longsword|Greataxe Of Hiatia,Int,Half-Orc,,Longsword|Greataxe,8-11,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0
31,Noble,Sorcerer,4,Elemental Adept,22,11,12,13,13,11,13,20,Arcana|History|Deception|Persuasion,"Quarterstaff|Dagger|Crossbow, Light",Cha,Aasimar,Ray of Frost*0|Mage Hand*0|Poison Spray*0|Message*0|Chaos Bolt*1|Thunderwave*1|Ray of Sickness*1|Misty Step*2|Shatter*2,"Quarterstaff|Dagger|Crossbow, Light",4-7,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,9,0
32,Custom,Cleric,16,War Caster|Skill Expert|Healer,96,16,12,11,12,13,18,16,History|Religion|Animal Handling|Medicine|Persuasion,Mace,Wis,Aasimar,Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5,Mace,16-18,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,3,10,0
33,Reporter,Rogue,3,,21,17,11,20,12,14,12,11,Acrobatics|Sleight of Hand|Stealth|History|Investigation|Insight|Perception,Longbow|Shortsword,Int,Elf,Minor Illusion*0|Mage Hand*0|Prestidigitation*0|Shape Water*0|Silent Image*1|Disguise Self*1|Identify*1,Longbow|Shortsword,1-3,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,7,0
34,Noble,Sorcerer,3,,17,11,12,13,13,11,13,20,Arcana|History|Deception|Persuasion,"Quarterstaff|Dagger|Crossbow, Light",Cha,Aasimar,Ray of Frost*0|Mage Hand*0|Poison Spray*0|Message*0|Chaos Bolt*1|Thunderwave*1|Ray of Sickness*1|Misty Step*2|Shatter*2,"Quarterstaff|Dagger|Crossbow, Light",1-3,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,0
35,Folk Hero,Paladin,1,,12,16,16,16,15,12,14,19,Athletics|Animal Handling|Medicine|Survival,Glaive|Double scimitar|Javelin,Cha,Tiefling,,Glaive|Scimitar|Javelin,1-3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
36,Noble,Rogue|Sorcerer,5,,34,15,8,18,14,11,16,20,Acrobatics|Stealth|History|Perception|Deception|Persuasion,Shortsword|Shortbow|Dagger,Int,Yaun-Ti,*|Chill Touch*0|Booming Blade*0|Minor Illusion*0|Acid Splash*0|Poison Spray*0|Arms of Hadar*1|Dissonant Whispers*1|Feather Fall*1|Expeditious Retreat*1,Shortsword|Shortbow|Dagger,4-7,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,10,1
37,Entertainer,Rogue,9,Defensive Duelist|Lucky,59,15,9,18,12,11,13,16,Acrobatics|Sleight of Hand|Stealth|Investigation|Insight|Perception|Deception|Performance,Rapier|Shortbow|Dagger,Int,Tabaxi,,Rapier|Shortbow|Dagger,8-11,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,2,0,0
38,Custom,Wizard|Druid,3,,18,11,13,13,13,17,17,8,Arcana|Nature|Religion|Insight|Survival|Deception,Quarterstaff,Int,Tiefling,,Quarterstaff,1-3,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
39,Noble,Sorcerer,2,,12,11,12,13,13,11,13,20,Arcana|History|Deception|Persuasion,"Quarterstaff|Dagger|Crossbow, Light",Cha,Aasimar,Ray of Frost*0|Mage Hand*0|Poison Spray*0|Message*0|Chaos Bolt*1|Thunderwave*1|Ray of Sickness*1,"Quarterstaff|Dagger|Crossbow, Light",1-3,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0
40,Guild Artisan,Fighter,6,Weapon Master,61,14,17,15,16,13,12,18,Athletics|Acrobatics|Insight|Persuasion,Longbow|Warhammer|Light Hammer,Int,Human,,Longbow|Warhammer|Light hammer,4-7,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
41,Outlander,Fighter,20,Great Weapon Master|Polearm Master,174,16,20,17,20,8,10,8,Athletics|Acrobatics|Animal Handling|Perception|Survival,"Greatsword|Crossbow, light",Int,Human,,"Greatsword|Crossbow, Light",19-20,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0
42,Clan Crafter,Artificer,6,,45,14,16,10,14,16,12,10,Arcana|History|Insight|Medicine|Intimidation,"Handaxe|Handaxe|Crossbow, light",Int,Half-Orc,Shield*1|Thunderwave*1|Scorching Ray*2|Shatter*2,"Handaxe|Handaxe|Crossbow, Light",4-7,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0
43,Custom,Paladin,1,,1,16,15,13,13,12,13,15,Athletics|Arcana|Religion|Medicine,Longsword|Spear,Cha,Human,,Longsword|Spear,1-3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
44,Noble,Fighter,5,Mounted Combatant,60,19,18,14,14,8,10,12,Athletics|History|Animal Handling|Insight|Survival|Persuasion,"Lance|Longsword|Crossbow, light",Int,Human,,"Lance|Longsword|Crossbow, Light",4-7,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
45,Urchin,Cleric,5,,39,17,8,16,13,12,18,10,Sleight of Hand|Stealth|Insight|Medicine,Shortsword,Wis,Aarakocra,Guidance*0|Sacred Flame*0|Thaumaturgy*0|Charm Person*1|Disguise Self*1|Cure Wounds*1|Healing Word*1|Mirror Image*2|Pass Without Trace*2|Spiritual Weapon*2|Protection from Poison*2|Blink*3|Dispel Magic*3|Spirit Guardians*3|Meld Into Stone*3,Shortsword,4-7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,15,0
46,House Agent,Bard,1,,10,17,12,16,14,10,8,15,Sleight of Hand|Stealth|Investigation|Intimidation|Persuasion,Longsword|Dagger,Cha,Goblin,True Strike*0|Mage Hand*0|Cure Wounds*1|Color Spray*1|Sleep*1|Thunderwave*1,Longsword|Dagger,1-3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,6,0
47,Outlander,Rogue,1,,9,12,15,14,13,11,16,9,Athletics|Stealth|Survival|Intimidation,Rapier|Shortsword|Dagger,Int,Human,,Rapier|Shortsword|Dagger,1-3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0
48,Haunted One,Cleric,3,Keen Mind,21,17,10,12,12,15,18,16,History|Investigation|Religion|Medicine|Persuasion,Mace|Quarterstaff,Wis,Human,Spare the Dying*0|Bane*1|False Life*1|Gentle Repose*2|Ray of Enfeeblement*2,Mace|Quarterstaff,1-3,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,5,0
49,Soldier,Barbarian,1,,14,14,16,14,15,9,13,11,Athletics|Nature|Perception|Intimidation,Greataxe|Handaxe|Javelin,Int,Human,,Greataxe|Handaxe|Javelin,1-3,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
50,Urchin,Fighter,1,,12,19,16,16,14,9,11,11,Athletics|Sleight of Hand|Stealth|Intimidation,"Longsword|Crossbow, light",Int,Human,,"Longsword|Crossbow, Light",1-3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
51,Entertainer,Rogue,5,Telekinetic,24,15,11,17,8,13,13,13,Acrobatics|Sleight of Hand|Stealth|Perception|Performance|Persuasion,Rapier|Shortbow|Dagger,Int,Warforged,,Rapier|Shortbow|Dagger,4-7,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0
52,Guild Artisan,Wizard,1,,8,13,14,14,15,15,10,8,Athletics|Arcana|History|Investigation,Battleaxe|Sling,Int,Dwarf,Mage Hand*0|Dancing Lights*0|Chill Touch*0|Comprehend Languages*1|Find Familiar*1|Burning Hands*1|Shield*1|Grease*1|Detect Magic*1,Battleaxe|Sling,1-3,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,9,0
53,Faction Agent,Druid,3,,23,13,13,13,14,13,18,9,Arcana|Nature|Animal Handling|Insight,Quarterstaff|Scimitar,Wis,Triton,Burning Hands*1|Cure Wounds*1|Flaming Sphere*2|Scorching Ray*2,Quarterstaff|Scimitar,1-3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,4,0
54,Acolyte,Sorcerer,11,Skill Expert|Metamagic Adept,68,16,10,16,14,14,12,20,Acrobatics|Arcana|Religion|Insight|Deception|Persuasion,Shortbow|Dagger,Cha,Human,*|Infestation*0|Minor Illusion*0|Sword Burst*0|Mage Hand*0|Chill Touch*0|Thorn Whip*0|Arms of Hadar*1|Dissonant Whispers*1|Magic Missile*1|Mage Armor*1|Calm Emotions*2|Detect Thoughts*2|*|Phantasmal Force*2|Invisibility*2|Hunger of Hadar*3|Sending*3|Stinking Cloud*3|Slow*3|Fly*3|Evard's Black Tentacles*4|*|Dimension Door*4|Blight*4|Rary's Telepathic Bond*5|Telekinesis*5|Synaptic Static*5|Disintegrate*6,Shortbow|Dagger,8-11,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,2,29,0
55,Sailor,Druid,4,,39,15,12,15,15,15,20,13,Athletics|Nature|Animal Handling|Perception,Club,Wis,Halfling,Druidcraft*0|Shillelagh*0|Guidance*0|Cure Wounds*1|Healing Word*1|Goodberry*1|Speak with Animals*1|Create or Destroy Water*1|Guiding Bolt*1,Club,4-7,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9,0
56,Soldier,Fighter,1,Polearm Master,13,16,17,16,17,9,12,10,Athletics|Acrobatics|Perception|Intimidation,Glaive|Javelin|Spear,Int,Human,,Glaive|Javelin|Spear,1-3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
57,Outlander,Barbarian|Paladin,4,,39,13,16,12,15,8,10,15,Athletics|Acrobatics|Stealth|Perception|Survival|Intimidation,Greatsword|Handaxe|Javelin,Int,Half-Elf,,Greatsword|Handaxe|Javelin,4-7,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1
58,Acolyte,Cleric,1,,10,17,12,8,15,10,15,15,History|Religion|Insight|Medicine|Persuasion,"Mace|Crossbow, light",Wis,Warforged,Spare the Dying*0|Bane*1|False Life*1,"Mace|Crossbow, Light",1-3,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0
59,Athlete,Fighter,1,,15,18,16,18,17,13,14,15,Athletics|Acrobatics|Insight|Perception,Rapier|Lance,Int,Halfling,,Rapier|Lance,1-3,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
60,Entertainer,Rogue,1,,8,14,8,16,10,13,13,16,Athletics|Acrobatics|Sleight of Hand|Stealth|Insight|Deception|Performance|Persuasion,Rapier|Shortbow|Dagger,Int,Half-Elf,,Rapier|Shortbow|Dagger,1-3,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0
61,Outlander,Druid,5,,47,14,11,12,14,17,18,11,Athletics|Nature|Perception|Survival,Scimitar Silver|Quarterstaff,Wis,Aasimar,Shillelagh*0|Poison Spray*0|Produce Flame*0|Ice Knife*1|Cure Wounds*1|Thunderwave*1|Entangle*1|Moonbeam*2|Flame Blade*2|Lesser Restoration*2|Lightning Bolt*3|Conjure Animals*3,Scimitar|Quarterstaff,4-7,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,12,0
62,Soldier,Paladin,5,,35,21,21,11,14,13,13,18,Athletics|Intimidation,Maul|Greatsword|Javelin,Cha,Dragonborn,Thunderous Smite*1|Bless*1|Bane*1|Hunter's Mark*1|Command*1|Hold Person*2|Misty Step*2|Find Steed*2|Magic Weapon*2,Maul|Greatsword|Javelin,4-7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,9,0
63,Criminal,Fighter,3,,24,18,14,17,13,12,10,9,Athletics|Acrobatics|Stealth|Perception|Deception,Longsword|Handaxe|Greatsword,Int,Tabaxi,Fire Bolt*0|*|Shield*1|Catapult*1|Burning Hands*1,Longsword|Handaxe|Greatsword,1-3,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,5,0
64,Soldier,Paladin|Fighter|Warlock,33,Heavy Armor Master|Tough|Dwarven Fortitude|Durable,621,21,20,16,22,12,14,20,Athletics|Religion|Insight|Intimidation,Warhammer+2,Cha,Dwarf,Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2|Plant Growth*3|Protection from Energy*3|Ice Storm*4|Stoneskin*4|Commune with Nature*5|Tree Stride*5,Warhammer,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,10,1
65,Barbarian Tribe Member,Barbarian,20,Great Weapon Master|Tough|Durable|Tavern Brawler|Medium Armor Master|Slasher,450,26,25,16,26,8,8,8,Athletics|Acrobatics|Nature|Animal Handling|Perception|Survival|Intimidation,"Greatsword|Crossbow, light|Javelin",Int,,,"Greatsword|Crossbow, Light|Javelin",19-20,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,6,0,0
